cd116,county,state,County name
1,1003,AL,Baldwin AL
1,1025,AL,Clarke AL
1,1053,AL,Escambia AL
1,1097,AL,Mobile AL
1,1099,AL,Monroe AL
1,1129,AL,Washington AL
2,1001,AL,Autauga AL
2,1005,AL,Barbour AL
2,1011,AL,Bullock AL
2,1013,AL,Butler AL
2,1031,AL,Coffee AL
2,1035,AL,Conecuh AL
2,1039,AL,Covington AL
2,1041,AL,Crenshaw AL
2,1045,AL,Dale AL
2,1051,AL,Elmore AL
2,1061,AL,Geneva AL
2,1067,AL,Henry AL
2,1069,AL,Houston AL
2,1101,AL,Montgomery AL
2,1109,AL,Pike AL
3,1015,AL,Calhoun AL
3,1017,AL,Chambers AL
3,1019,AL,Cherokee AL
3,1027,AL,Clay AL
3,1029,AL,Cleburne AL
3,1081,AL,Lee AL
3,1087,AL,Macon AL
3,1101,AL,Montgomery AL
3,1111,AL,Randolph AL
3,1113,AL,Russell AL
3,1115,AL,St. Clair AL
3,1121,AL,Talladega AL
3,1123,AL,Tallapoosa AL
4,1009,AL,Blount AL
4,1019,AL,Cherokee AL
4,1033,AL,Colbert AL
4,1043,AL,Cullman AL
4,1049,AL,DeKalb AL
4,1055,AL,Etowah AL
4,1057,AL,Fayette AL
4,1059,AL,Franklin AL
4,1071,AL,Jackson AL
4,1075,AL,Lamar AL
4,1079,AL,Lawrence AL
4,1093,AL,Marion AL
4,1095,AL,Marshall AL
4,1125,AL,Tuscaloosa AL
4,1127,AL,Walker AL
4,1133,AL,Winston AL
5,1071,AL,Jackson AL
5,1077,AL,Lauderdale AL
5,1083,AL,Limestone AL
5,1089,AL,Madison AL
5,1103,AL,Morgan AL
6,1007,AL,Bibb AL
6,1009,AL,Blount AL
6,1021,AL,Chilton AL
6,1037,AL,Coosa AL
6,1073,AL,Jefferson AL
6,1117,AL,Shelby AL
7,1023,AL,Choctaw AL
7,1025,AL,Clarke AL
7,1047,AL,Dallas AL
7,1063,AL,Greene AL
7,1065,AL,Hale AL
7,1073,AL,Jefferson AL
7,1085,AL,Lowndes AL
7,1091,AL,Marengo AL
7,1101,AL,Montgomery AL
7,1105,AL,Perry AL
7,1107,AL,Pickens AL
7,1119,AL,Sumter AL
7,1125,AL,Tuscaloosa AL
7,1131,AL,Wilcox AL
0,2013,AK,Aleutians East Borough AK
0,2016,AK,Aleutians West Census Area AK
0,2020,AK,Anchorage Borough AK
0,2050,AK,Bethel Census Area AK
0,2060,AK,Bristol Bay Borough AK
0,2063,AK,Chugach Census Area AK
0,2066,AK,Copper River Census Area AK
0,2068,AK,Denali Borough AK
0,2070,AK,Dillingham Census Area AK
0,2090,AK,Fairbanks North Star Borough AK
0,2100,AK,Haines Borough AK
0,2105,AK,Hoonah-Angoon Census Area
0,2110,AK,Juneau Borough AK
0,2122,AK,Kenai Peninsula Borough AK
0,2130,AK,Ketchikan Gateway Borough AK
0,2150,AK,Kodiak Island Borough AK
0,2158,AK,Kusilvak Census Area AK (N)
0,2164,AK,Lake and Peninsula Borough AK
0,2170,AK,Matanuska-Susitna Borough AK
0,2180,AK,Nome Census Area AK
0,2185,AK,North Slope Borough AK
0,2188,AK,Northwest Arctic Borough AK
0,2195,AK,Petersburg Census Area AK
0,2198,AK,Prince of Wales-Hyder Census Area AK
0,2220,AK,Sitka Borough AK
0,2230,AK,Skagway Municipality AK
0,2240,AK,Southeast Fairbanks Census Area AK
0,2275,AK,Wrangell City and Borough AK
0,2282,AK,Yakutat Borough AK
0,2290,AK,Yukon-Koyukuk Census Area AK
1,4001,AZ,Apache AZ
1,4005,AZ,Coconino AZ
1,4007,AZ,Gila AZ
1,4009,AZ,Graham AZ
1,4011,AZ,Greenlee AZ
1,4013,AZ,Maricopa AZ
