date,resolved_locality,resolved_county,resolved_state,fips_code
26/05/2020,Los Angeles,Los Angeles County,CA,6037
26/05/2020,Chicago,Cook County,IL,17031
26/05/2020,Hammond,Lake County,IN,18089
26/05/2020,NA,Washtenaw County,MI,26161
26/05/2020,Minneapolis,Hennepin County,MN,27053
26/05/2020,Minneapolis,Hennepin County,MN,27053
26/05/2020,Saint Paul,Ramsey County,MN,27123
26/05/2020,Houston,Harris County,TX,48201
26/05/2020,Suffolk,NA,VA,51800
27/05/2020,Los Angeles,Los Angeles County,CA,6037
27/05/2020,Los Angeles,Los Angeles County,CA,6037
27/05/2020,Santee,San Diego County,CA,6073
27/05/2020,Sacramento,Sacramento County,CA,6067
27/05/2020,Marco Island,Collier County,FL,12021
27/05/2020,Tallahassee,Leon County,FL,12073
27/05/2020,Evansville,Vanderburgh County,IN,18163
27/05/2020,Haverhill,Essex County,MA,25009
27/05/2020,NA,Washtenaw County,MI,26161
27/05/2020,Duluth,St. Louis County,MN,27137
27/05/2020,Minneapolis,Hennepin County,MN,27053
27/05/2020,Oakdale,Washington County,MN,27163
27/05/2020,Saint Paul,Ramsey County,MN,27123
27/05/2020,Willingboro,Burlington County,NJ,34005
27/05/2020,Memphis,Shelby County,TN,47157
27/05/2020,Olympia,Thurston County,WA,53067
28/05/2020,Birmingham,Jefferson County,AL,1073
28/05/2020,Huntsville,Madison County,AL,1089
28/05/2020,Troy,Pike County,AL,1109
28/05/2020,Fort Smith,Sebastian County,AR,5131
28/05/2020,Phoenix,Maricopa County,AZ,4013
28/05/2020,Fontana,San Bernardino County,CA,6071
28/05/2020,Hayward,Alameda County,CA,6001
28/05/2020,Los Angeles,Los Angeles County,CA,6037
28/05/2020,Los Angeles,Los Angeles County,CA,6037
28/05/2020,Los Angeles,Los Angeles County,CA,6037
28/05/2020,Oakland,Alameda County,CA,6001
28/05/2020,Oakland,Alameda County,CA,6001
28/05/2020,San Jose,Santa Clara County,CA,6085
28/05/2020,Santa Monica,Los Angeles County,CA,6037
28/05/2020,Santa Monica,Los Angeles County,CA,6037
28/05/2020,Vallejo,Solano County,CA,6095
28/05/2020,Vallejo,Solano County,CA,6095
28/05/2020,Colorado Springs,El Paso County,CO,8041
28/05/2020,Denver,Denver County,CO,8031
28/05/2020,Fort Collins,Larimer County,CO,8069
28/05/2020,Windermere,Orange County,FL,12095
28/05/2020,Cedar Rapids,Linn County,IA,19113
28/05/2020,Chicago,Cook County,IL,17031
28/05/2020,Louisville,Jefferson County,KY,21111
28/05/2020,Louisville,Jefferson County,KY,21111
28/05/2020,Madisonville,Hopkins County,KY,21107
28/05/2020,Boston,Suffolk County,MA,25025
28/05/2020,Framingham,Middlesex County,MA,25017
28/05/2020,Haverhill,Essex County,MA,25009
28/05/2020,Ann Arbor,Washtenaw County,MI,26161
28/05/2020,Lansing,Ingham County,MI,26065
28/05/2020,NA,Washtenaw County,MI,26161
28/05/2020,Apple Valley,Dakota County,MN,27037
28/05/2020,Blaine,Anoka County,MN,27003
28/05/2020,Brainerd,Crow Wing County,MN,27035
28/05/2020,Duluth,St. Louis County,MN,27137
28/05/2020,Fridley,Anoka County,MN,27003
28/05/2020,Maplewood,Ramsey County,MN,27123
